graph,llm_qa,cq_id,hops,subgraph_nodes,subgraph_edges,total_claims,supported,partial,unsupported,gf_strict,gf_weighted,parse_error,runtime_error
gpt-4o-mini,openai_gpt4omini,CQ1,2,274,502,4,4,0,0,1.0,1.0,,
gpt-4o-mini,llama-3.3-70b-versatile,CQ1,2,274,502,6,6,0,0,1.0,1.0,,
gpt-4o-mini,llama-3.1-8b-instant,CQ1,2,274,502,10,6,2,2,0.6,0.7,,
gpt-4o-mini,gemini-2.5-flash,CQ1,2,274,502,4,0,0,4,0.0,0.0,,
gpt-4o-mini,openai_gpt4omini,CQ2,2,186,316,1,0,0,1,0.0,0.0,,
gpt-4o-mini,llama-3.3-70b-versatile,CQ2,2,186,316,1,1,0,0,1.0,1.0,,
gpt-4o-mini,llama-3.1-8b-instant,CQ2,2,186,316,11,4,4,3,0.3636,0.5455,,
gpt-4o-mini,gemini-2.5-flash,CQ2,2,186,316,6,6,0,0,1.0,1.0,,
gpt-4o-mini,openai_gpt4omini,CQ3,2,147,220,2,2,0,0,1.0,1.0,,
gpt-4o-mini,llama-3.3-70b-versatile,CQ3,2,147,220,4,2,2,0,0.5,0.75,,
gpt-4o-mini,llama-3.1-8b-instant,CQ3,2,147,220,7,5,1,1,0.7143,0.7857,,
gpt-4o-mini,gemini-2.5-flash,CQ3,2,147,220,2,2,0,0,1.0,1.0,,
gpt-4o-mini,openai_gpt4omini,CQ4,2,222,329,1,0,0,1,0.0,0.0,,
gpt-4o-mini,llama-3.3-70b-versatile,CQ4,2,222,329,1,1,0,0,1.0,1.0,,
gpt-4o-mini,llama-3.1-8b-instant,CQ4,2,222,329,5,2,1,2,0.4,0.5,,
gpt-4o-mini,gemini-2.5-flash,CQ4,2,222,329,6,5,1,0,0.8333,0.9167,,
gpt-4o-mini,openai_gpt4omini,CQ5,2,298,534,1,0,0,1,0.0,0.0,,
gpt-4o-mini,llama-3.3-70b-versatile,CQ5,2,298,534,8,6,1,1,0.75,0.8125,,
gpt-4o-mini,llama-3.1-8b-instant,CQ5,2,298,534,9,6,2,1,0.6667,0.7778,,
gpt-4o-mini,gemini-2.5-flash,CQ5,2,298,534,19,19,0,0,1.0,1.0,,
gpt-4o-mini,openai_gpt4omini,CQ6,2,223,362,1,0,0,1,0.0,0.0,,
gpt-4o-mini,llama-3.3-70b-versatile,CQ6,2,223,362,1,1,0,0,1.0,1.0,,
gpt-4o-mini,llama-3.1-8b-instant,CQ6,2,223,362,5,4,0,1,0.8,0.8,,
gpt-4o-mini,gemini-2.5-flash,CQ6,2,223,362,7,7,0,0,1.0,1.0,,
gpt-4o-mini,openai_gpt4omini,CQ7,2,246,458,12,11,0,1,0.9167,0.9167,,
gpt-4o-mini,llama-3.3-70b-versatile,CQ7,2,246,458,15,12,3,0,0.8,0.9,,
gpt-4o-mini,llama-3.1-8b-instant,CQ7,2,246,458,0,0,0,0,0.0,0.0,Expecting value: line 123 column 3 (char 5253),
gpt-4o-mini,gemini-2.5-flash,CQ7,2,246,458,29,29,0,0,1.0,1.0,,
gpt-4o-mini,openai_gpt4omini,CQ8,2,211,325,1,0,0,1,0.0,0.0,,
gpt-4o-mini,llama-3.3-70b-versatile,CQ8,2,211,325,1,1,0,0,1.0,1.0,,
gpt-4o-mini,llama-3.1-8b-instant,CQ8,2,211,325,1,1,0,0,1.0,1.0,,
gpt-4o-mini,gemini-2.5-flash,CQ8,2,211,325,3,3,0,0,1.0,1.0,,
gpt-4o-mini,openai_gpt4omini,CQ9,2,243,421,1,0,0,1,0.0,0.0,,
gpt-4o-mini,llama-3.3-70b-versatile,CQ9,2,243,421,3,3,0,0,1.0,1.0,,
gpt-4o-mini,llama-3.1-8b-instant,CQ9,2,243,421,6,3,1,2,0.5,0.5833,,
gpt-4o-mini,gemini-2.5-flash,CQ9,2,243,421,6,3,0,3,0.5,0.5,,
gpt-4o-mini,openai_gpt4omini,CQ10,2,149,230,1,0,0,1,0.0,0.0,,
gpt-4o-mini,llama-3.3-70b-versatile,CQ10,2,149,230,1,1,0,0,1.0,1.0,,
gpt-4o-mini,llama-3.1-8b-instant,CQ10,2,149,230,8,3,3,2,0.375,0.5625,,
gpt-4o-mini,gemini-2.5-flash,CQ10,2,149,230,1,0,0,1,0.0,0.0,,
mixtral8x7b,openai_gpt4omini,CQ1,2,63,59,4,4,0,0,1.0,1.0,,
mixtral8x7b,llama-3.3-70b-versatile,CQ1,2,63,59,9,8,1,0,0.8889,0.9444,,
mixtral8x7b,llama-3.1-8b-instant,CQ1,2,63,59,8,3,4,1,0.375,0.625,,
mixtral8x7b,gemini-2.5-flash,CQ1,2,63,59,16,13,1,2,0.8125,0.8438,,
mixtral8x7b,openai_gpt4omini,CQ2,2,65,61,1,0,0,1,0.0,0.0,,
mixtral8x7b,llama-3.3-70b-versatile,CQ2,2,65,61,1,0,0,1,0.0,0.0,,
mixtral8x7b,llama-3.1-8b-instant,CQ2,2,65,61,6,4,1,1,0.6667,0.75,,
mixtral8x7b,gemini-2.5-flash,CQ2,2,65,61,1,0,0,1,0.0,0.0,,
mixtral8x7b,openai_gpt4omini,CQ3,2,26,18,1,0,0,1,0.0,0.0,,
mixtral8x7b,llama-3.3-70b-versatile,CQ3,2,26,18,1,0,0,1,0.0,0.0,,
mixtral8x7b,llama-3.1-8b-instant,CQ3,2,26,18,8,5,3,0,0.625,0.8125,,
mixtral8x7b,gemini-2.5-flash,CQ3,2,26,18,1,0,0,1,0.0,0.0,,
mixtral8x7b,openai_gpt4omini,CQ4,2,33,25,1,0,0,1,0.0,0.0,,
mixtral8x7b,llama-3.3-70b-versatile,CQ4,2,33,25,4,3,1,0,0.75,0.875,,
mixtral8x7b,llama-3.1-8b-instant,CQ4,2,33,25,10,6,4,0,0.6,0.8,,
mixtral8x7b,gemini-2.5-flash,CQ4,2,33,25,7,7,0,0,1.0,1.0,,
mixtral8x7b,openai_gpt4omini,CQ5,2,82,75,1,0,0,1,0.0,0.0,,
mixtral8x7b,llama-3.3-70b-versatile,CQ5,2,82,75,10,9,0,1,0.9,0.9,,
mixtral8x7b,llama-3.1-8b-instant,CQ5,2,82,75,9,3,2,4,0.3333,0.4444,,
mixtral8x7b,gemini-2.5-flash,CQ5,2,82,75,24,23,1,0,0.9583,0.9792,,
mixtral8x7b,openai_gpt4omini,CQ6,2,149,161,1,0,0,1,0.0,0.0,,
mixtral8x7b,llama-3.3-70b-versatile,CQ6,2,149,161,1,1,0,0,1.0,1.0,,
mixtral8x7b,llama-3.1-8b-instant,CQ6,2,149,161,7,6,0,1,0.8571,0.8571,,
mixtral8x7b,gemini-2.5-flash,CQ6,2,149,161,4,4,0,0,1.0,1.0,,
mixtral8x7b,openai_gpt4omini,CQ7,2,53,46,1,0,0,1,0.0,0.0,,
mixtral8x7b,llama-3.3-70b-versatile,CQ7,2,53,46,1,0,0,1,0.0,0.0,,
mixtral8x7b,llama-3.1-8b-instant,CQ7,2,53,46,8,3,2,3,0.375,0.5,,
mixtral8x7b,gemini-2.5-flash,CQ7,2,53,46,6,5,1,0,0.8333,0.9167,,
mixtral8x7b,openai_gpt4omini,CQ8,2,84,84,1,0,0,1,0.0,0.0,,
mixtral8x7b,llama-3.3-70b-versatile,CQ8,2,84,84,1,1,0,0,1.0,1.0,,
mixtral8x7b,llama-3.1-8b-instant,CQ8,2,84,84,4,1,1,2,0.25,0.375,,
mixtral8x7b,gemini-2.5-flash,CQ8,2,84,84,4,4,0,0,1.0,1.0,,
mixtral8x7b,openai_gpt4omini,CQ9,2,90,97,1,0,0,1,0.0,0.0,,
mixtral8x7b,llama-3.3-70b-versatile,CQ9,2,90,97,6,4,2,0,0.6667,0.8333,,
mixtral8x7b,llama-3.1-8b-instant,CQ9,2,90,97,4,1,2,1,0.25,0.5,,
mixtral8x7b,gemini-2.5-flash,CQ9,2,90,97,4,0,0,4,0.0,0.0,,
mixtral8x7b,openai_gpt4omini,CQ10,2,79,76,1,0,0,1,0.0,0.0,,
mixtral8x7b,llama-3.3-70b-versatile,CQ10,2,79,76,1,0,0,1,0.0,0.0,,
mixtral8x7b,llama-3.1-8b-instant,CQ10,2,79,76,5,2,1,1,0.4,0.5,,
mixtral8x7b,gemini-2.5-flash,CQ10,2,79,76,1,0,0,1,0.0,0.0,,
mistral7b,openai_gpt4omini,CQ1,2,30,24,3,2,1,0,0.6667,0.8333,,
mistral7b,llama-3.3-70b-versatile,CQ1,2,30,24,11,11,0,0,1.0,1.0,,
mistral7b,llama-3.1-8b-instant,CQ1,2,30,24,7,6,0,1,0.8571,0.8571,,
mistral7b,gemini-2.5-flash,CQ1,2,30,24,14,11,1,2,0.7857,0.8214,,
mistral7b,openai_gpt4omini,CQ2,2,31,29,1,0,0,1,0.0,0.0,,
mistral7b,llama-3.3-70b-versatile,CQ2,2,31,29,1,0,0,1,0.0,0.0,,
mistral7b,llama-3.1-8b-instant,CQ2,2,31,29,13,0,7,6,0.0,0.2692,,
mistral7b,gemini-2.5-flash,CQ2,2,31,29,4,3,0,1,0.75,0.75,,
mistral7b,openai_gpt4omini,CQ3,2,19,11,1,0,0,1,0.0,0.0,,
mistral7b,llama-3.3-70b-versatile,CQ3,2,19,11,1,0,0,1,0.0,0.0,,
mistral7b,llama-3.1-8b-instant,CQ3,2,19,11,1,0,0,1,0.0,0.0,,
mistral7b,gemini-2.5-flash,CQ3,2,19,11,1,0,0,1,0.0,0.0,,
mistral7b,openai_gpt4omini,CQ4,2,19,11,1,0,0,1,0.0,0.0,,
mistral7b,llama-3.3-70b-versatile,CQ4,2,19,11,1,0,0,1,0.0,0.0,,
mistral7b,llama-3.1-8b-instant,CQ4,2,19,11,8,4,1,3,0.5,0.5625,,
mistral7b,gemini-2.5-flash,CQ4,2,19,11,1,0,0,1,0.0,0.0,,
mistral7b,openai_gpt4omini,CQ5,2,24,24,1,0,0,1,0.0,0.0,,
mistral7b,llama-3.3-70b-versatile,CQ5,2,24,24,1,0,0,1,0.0,0.0,,
mistral7b,llama-3.1-8b-instant,CQ5,2,24,24,1,0,0,1,0.0,0.0,,
mistral7b,gemini-2.5-flash,CQ5,2,24,24,4,0,0,4,0.0,0.0,,
mistral7b,openai_gpt4omini,CQ6,2,10,0,1,1,0,0,1.0,1.0,,
mistral7b,llama-3.3-70b-versatile,CQ6,2,10,0,1,1,0,0,1.0,1.0,,
mistral7b,llama-3.1-8b-instant,CQ6,2,10,0,1,1,0,0,1.0,1.0,,
mistral7b,gemini-2.5-flash,CQ6,2,10,0,1,1,0,0,1.0,1.0,,
mistral7b,openai_gpt4omini,CQ7,2,25,26,1,0,0,1,0.0,0.0,,
mistral7b,llama-3.3-70b-versatile,CQ7,2,25,26,1,0,0,1,0.0,0.0,,
mistral7b,llama-3.1-8b-instant,CQ7,2,25,26,1,1,0,0,1.0,1.0,,
mistral7b,gemini-2.5-flash,CQ7,2,25,26,4,4,0,0,1.0,1.0,,
mistral7b,openai_gpt4omini,CQ8,2,33,35,1,0,0,1,0.0,0.0,,
mistral7b,llama-3.3-70b-versatile,CQ8,2,33,35,1,0,0,1,0.0,0.0,,
mistral7b,llama-3.1-8b-instant,CQ8,2,33,35,1,1,0,0,1.0,1.0,,
mistral7b,gemini-2.5-flash,CQ8,2,33,35,1,0,0,1,0.0,0.0,,
mistral7b,openai_gpt4omini,CQ9,2,26,30,1,0,0,1,0.0,0.0,,
mistral7b,llama-3.3-70b-versatile,CQ9,2,26,30,1,1,0,0,1.0,1.0,,
mistral7b,llama-3.1-8b-instant,CQ9,2,26,30,6,2,1,3,0.3333,0.4167,,
mistral7b,gemini-2.5-flash,CQ9,2,26,30,1,0,0,1,0.0,0.0,,
mistral7b,openai_gpt4omini,CQ10,2,22,15,1,0,0,1,0.0,0.0,,
mistral7b,llama-3.3-70b-versatile,CQ10,2,22,15,1,0,0,1,0.0,0.0,,
mistral7b,llama-3.1-8b-instant,CQ10,2,22,15,7,3,3,1,0.4286,0.6429,,
mistral7b,gemini-2.5-flash,CQ10,2,22,15,1,1,0,0,1.0,1.0,,
ministral-14b-2512,openai_gpt4omini,CQ1,2,171,296,5,5,0,0,1.0,1.0,,
ministral-14b-2512,llama-3.3-70b-versatile,CQ1,2,171,296,4,4,0,0,1.0,1.0,,
ministral-14b-2512,llama-3.1-8b-instant,CQ1,2,171,296,4,3,0,1,0.75,0.75,,
ministral-14b-2512,gemini-2.5-flash,CQ1,2,171,296,3,0,0,3,0.0,0.0,,
ministral-14b-2512,openai_gpt4omini,CQ2,2,240,457,1,0,0,1,0.0,0.0,,
ministral-14b-2512,llama-3.3-70b-versatile,CQ2,2,240,457,1,1,0,0,1.0,1.0,,
ministral-14b-2512,llama-3.1-8b-instant,CQ2,2,240,457,1,0,0,1,0.0,0.0,,
ministral-14b-2512,gemini-2.5-flash,CQ2,2,240,457,3,3,0,0,1.0,1.0,,
ministral-14b-2512,openai_gpt4omini,CQ3,2,409,897,1,0,0,1,0.0,0.0,,
ministral-14b-2512,llama-3.3-70b-versatile,CQ3,2,409,897,1,0,0,1,0.0,0.0,,
ministral-14b-2512,llama-3.1-8b-instant,CQ3,2,409,897,7,6,0,1,0.8571,0.8571,,
ministral-14b-2512,gemini-2.5-flash,CQ3,2,409,897,1,1,0,0,1.0,1.0,,
ministral-14b-2512,openai_gpt4omini,CQ4,2,488,1022,1,0,0,1,0.0,0.0,,
ministral-14b-2512,llama-3.3-70b-versatile,CQ4,2,488,1022,39,39,0,0,1.0,1.0,,
ministral-14b-2512,llama-3.1-8b-instant,CQ4,2,488,1022,7,6,0,1,0.8571,0.8571,,
ministral-14b-2512,gemini-2.5-flash,CQ4,2,488,1022,3,2,0,1,0.6667,0.6667,,
ministral-14b-2512,openai_gpt4omini,CQ5,2,435,896,1,0,0,1,0.0,0.0,,
ministral-14b-2512,llama-3.3-70b-versatile,CQ5,2,435,896,4,4,0,0,1.0,1.0,,
ministral-14b-2512,llama-3.1-8b-instant,CQ5,2,435,896,6,3,1,2,0.5,0.5833,,
ministral-14b-2512,gemini-2.5-flash,CQ5,2,435,896,3,0,0,3,0.0,0.0,,
ministral-14b-2512,openai_gpt4omini,CQ6,2,108,153,1,0,0,1,0.0,0.0,,
ministral-14b-2512,llama-3.3-70b-versatile,CQ6,2,108,153,3,2,0,1,0.6667,0.6667,,
ministral-14b-2512,llama-3.1-8b-instant,CQ6,2,108,153,3,2,1,0,0.6667,0.8333,,
ministral-14b-2512,gemini-2.5-flash,CQ6,2,108,153,5,0,0,5,0.0,0.0,,
ministral-14b-2512,openai_gpt4omini,CQ7,2,442,905,1,0,0,1,0.0,0.0,,
ministral-14b-2512,llama-3.3-70b-versatile,CQ7,2,442,905,0,0,0,0,0.0,0.0,,
ministral-14b-2512,llama-3.1-8b-instant,CQ7,2,442,905,12,3,6,3,0.25,0.5,,
ministral-14b-2512,gemini-2.5-flash,CQ7,2,442,905,5,0,0,5,0.0,0.0,,
ministral-14b-2512,openai_gpt4omini,CQ8,2,521,1098,1,0,0,1,0.0,0.0,,
ministral-14b-2512,llama-3.3-70b-versatile,CQ8,2,521,1098,3,3,0,0,1.0,1.0,,
ministral-14b-2512,llama-3.1-8b-instant,CQ8,2,521,1098,5,5,0,0,1.0,1.0,,
ministral-14b-2512,gemini-2.5-flash,CQ8,2,521,1098,3,3,0,0,1.0,1.0,,
ministral-14b-2512,openai_gpt4omini,CQ9,2,533,1121,1,0,0,1,0.0,0.0,,
ministral-14b-2512,llama-3.3-70b-versatile,CQ9,2,533,1121,4,2,1,1,0.5,0.625,,
ministral-14b-2512,llama-3.1-8b-instant,CQ9,2,533,1121,7,6,1,0,0.8571,0.9286,,
ministral-14b-2512,gemini-2.5-flash,CQ9,2,533,1121,2,2,0,0,1.0,1.0,,
ministral-14b-2512,openai_gpt4omini,CQ10,2,412,838,1,0,0,1,0.0,0.0,,
